Postcode,Total,SPA,PA,Below,Above
,,,,,
SO16 4DU,71,6,17,17,31
SO18 5AD,63,1,16,13,33
SO16 8NT,61,1,11,12,37
SO14 1HZ,61,1,19,14,27
SO14 1JA,60,1,14,10,35
SO18 2FR,54,3,10,11,30
SO14 1JB,50,3,8,10,29
SO16 9FZ,48,1,13,8,26
SO16 9GL,48,0,12,13,23
SO16 9FY,47,0,17,7,23
SO15 5PE,47,2,7,18,20
SO16 3LP,46,0,9,13,24
SO14 0LP,45,0,14,9,22
SO15 5PD,44,3,14,17,10
SO15 2PF,42,0,4,5,33
SO16 9FX,42,1,12,12,17
SO19 9JP,42,5,13,7,17
SO19 9JW,42,3,11,6,22
SO14 5BT,40,1,9,11,19
SO16 4QA,40,2,13,12,13
SO15 8QZ,40,1,13,8,18
SO16 6BA,39,3,5,15,16
SO14 0ER,39,2,6,9,22
SO19 7LR,39,1,6,12,20
SO19 9JA,38,0,17,6,15
SO18 2RD,38,2,5,8,23
SO16 4HR,38,1,5,10,22
SO16 4AS,38,1,9,11,17
SO15 1AQ,37,3,13,9,12
SO16 9RT,37,2,7,6,22
SO17 3AR,36,1,3,5,27
SO19 9JU,36,0,11,7,18
SO19 9TZ,36,2,12,6,16
SO19 6PF,36,4,14,13,5
SO15 1GU,36,0,6,6,24
SO14 0ES,35,0,8,11,16
SO14 0EQ,35,0,8,14,13
SO14 0LS,35,2,8,10,15
SO16 4BT,35,8,20,3,4
SO16 9AX,35,1,2,6,26
SO19 9JT,35,0,12,11,12
SO19 9EF,34,2,12,11,9
SO16 9GX,34,4,13,4,13
SO18 2HE,34,0,5,5,24
SO18 5NZ,34,2,8,6,18
SO17 3AS,33,2,8,6,17
SO18 1NY,33,2,2,6,23
SO19 9JX,33,1,7,11,14
SO19 6HG,33,3,8,4,18
SO16 9AT,33,0,10,7,16
SO16 4DW,33,0,13,9,11
SO14 0DS,33,1,7,14,11
SO15 5PF,33,1,9,2,21
SO14 0DP,32,1,10,7,14
SO16 4QG,32,1,6,4,21
SO16 4LZ,32,0,7,10,15
SO16 8FY,32,3,7,7,15
