LSOA,Postcode,Total Children,PA Percentage
E01017207,SO16 4DU,70,20
E01017205,SO18 5AD,63,23.81
E01017184,SO16 8NT,63,17.46
E01032755,SO14 1HZ,62,35.48
E01032755,SO14 1JA,57,19.3
E01017201,SO18 2FR,57,17.54
E01017245,SO16 9FY,51,33.33
E01032755,SO14 1JB,51,17.65
E01017250,SO15 5PE,48,14.58
E01017245,SO16 9FZ,46,30.43
E01017244,SO16 9GL,46,26.09
E01017155,SO14 0LP,46,32.61
E01017280,SO19 9JP,45,28.89
E01017266,SO16 3LP,44,20.45
E01017250,SO15 5PD,44,34.09
E01017281,SO19 9JW,43,23.26
E01017168,SO19 6AS,43,41.86
E01017138,SO15 2PF,42,9.52
E01017208,SO16 4QA,41,34.15
E01032750,SO14 0LS,41,21.95
E01017216,SO15 8QZ,41,34.15
E01035443,SO17 3AR,41,12.2
E01017242,SO16 9RT,40,17.5
E01032745,SO14 5BT,40,22.5
E01017210,SO16 4AS,40,25
E01017156,SO14 0ER,39,15.38
E01017225,SO19 7LR,39,15.38
E01017238,SO16 4HR,39,12.82
E01017246,SO16 6BA,38,13.16
E01017263,SO19 9JA,38,44.74
E01017174,SO18 2RD,37,13.51
E01035445,SO15 1AQ,37,35.14
E01035446,SO19 9TZ,37,35.14
E01017245,SO16 9FX,36,22.22
E01017240,SO16 9AT,35,31.43
E01017281,SO19 9JT,35,34.29
E01017281,SO19 9JU,35,28.57
E01017163,SO19 6PF,35,40
E01017156,SO14 0ES,35,22.86
E01017155,SO14 0EQ,35,22.86
E01017206,SO18 5NZ,35,25.71
E01017178,SO18 1JY,35,17.14
E01017154,SO14 0EW,34,11.76
E01017175,SO18 1NY,34,8.82
E01017174,SO18 2HE,34,14.71
E01017270,SO16 3DS,34,20.59
E01017239,SO16 9GX,34,38.24
E01035447,SO19 9EF,34,38.24
E01035445,SO15 1GU,33,12.12
E01017250,SO15 5PF,33,27.27
E01017267,SO17 3TL,33,15.15
E01017281,SO19 9JX,33,21.21
E01017169,SO19 0SG,33,15.15
E01017167,SO19 6HL,33,30.3
E01017188,SO16 5TA,33,24.24
E01017182,SO16 8HD,32,3.13
E01017277,SO19 9HX,32,12.5
E01017267,SO17 3TG,32,12.5
E01017250,SO15 5PU,32,25
E01017254,SO15 5NB,32,37.5
E01035442,SO17 3AS,32,25
E01017240,SO16 9AX,31,6.45
E01017266,SO16 3BP,31,16.13
E01017281,SO19 9NX,31,12.9
E01017181,SO16 8FY,31,22.58
E01017207,SO16 4DW,31,35.48
E01017210,SO16 4BT,31,54.84
E01017210,SO16 4QG,31,16.13
E01017207,SO16 4LZ,31,19.35
E01017155,SO14 0DS,31,22.58
E01017156,SO14 0DP,30,26.67
E01017167,SO19 6HG,30,23.33
E01017187,SO16 8FR,30,23.33
E01017266,SO16 3BT,30,20
E01017240,SO16 9AU,30,26.67
E01017240,SO16 9AW,30,26.67
E01017242,SO16 9WF,29,10.34
E01017246,SO16 4BY,29,17.24
E01017266,SO16 3BQ,29,31.03
E01017276,SO19 2JD,29,0
E01017207,SO16 4PX,29,17.24
E01017203,SO18 4ST,29,27.59
E01017167,SO19 6HH,29,24.14
E01017166,SO19 6AG,29,34.48
E01017138,SO15 2PX,29,6.9
E01017139,SO14 3DD,28,25
E01017156,SO14 0BQ,28,14.29
E01017167,SO19 6LS,28,42.86
E01017171,SO18 1GS,28,28.57
E01017205,SO18 5FT,28,14.29
E01017210,SO16 4AZ,28,17.86
E01017186,SO16 5FY,28,39.29
E01017275,SO19 9GT,28,35.71
E01022717,SO18 3NA,28,25
E01017257,SO19 8NF,28,28.57
E01017258,SO19 8JZ,28,10.71
E01017238,SO16 9GH,28,21.43
E01035443,SO17 3SW,28,10.71
E01035445,SO15 1GT,28,21.43
E01035445,SO15 1GG,27,22.22
E01035443,SO17 3AP,27,14.81
E01017220,SO19 2FJ,27,14.81
E01017242,SO16 9RU,27,22.22
E01017241,SO16 9PW,27,18.52
E01017277,SO19 9AU,27,0
E01017270,SO16 3EN,27,33.33
E01017272,SO16 3LG,27,11.11
E01017206,SO18 5DA,27,7.41
E01017168,SO19 6NX,27,25.93
E01017166,SO19 8NE,27,18.52
E01017156,SO14 0AW,27,33.33
E01017155,SO14 0EF,27,7.41
E01017156,SO14 0DN,27,14.81
E01017153,SO14 0BP,27,29.63
E01017149,SO16 3BW,27,18.52
E01017149,SO16 3GP,27,11.11
E01017144,SO16 3GN,26,30.77
E01017156,SO14 0EJ,26,42.31
E01017167,SO19 6LJ,26,42.31
E01017171,SO18 1GT,26,19.23
E01017176,SO18 2PE,26,30.77
E01017207,SO16 4DX,26,30.77
E01017210,SO16 4AR,26,26.92
E01017210,SO16 4BB,26,34.62
E01017208,SO16 4NB,26,30.77
E01017185,SO16 5NY,26,23.08
E01017191,SO15 5EA,26,11.54
E01017219,SO19 7GD,26,23.08
E01035447,SO19 9FQ,26,15.38
E01035442,SO17 3AQ,25,20
E01032753,SO17 1PS,25,4
E01017238,SO16 4PZ,25,16
E01017228,SO17 2EZ,25,20
E01017233,SO17 2LS,25,12
E01017244,SO16 9LF,25,16
E01017245,SO16 9PR,25,24
E01017265,SO18 2HT,25,32
E01017274,SO19 9JF,25,28
E01032738,SO15 2YE,25,48
E01017186,SO16 8GW,25,36
E01017183,SO16 8EJ,25,20
E01017203,SO18 4RR,25,24
E01017202,SO18 2EQ,25,48
E01017170,SO19 0QB,25,32
E01017168,SO19 6NS,25,8
E01017156,SO14 0DL,25,20
E01017156,SO14 0AT,25,48
E01017153,SO14 0AZ,25,16
E01017139,SO14 1JH,25,16
E01017153,SO14 0BN,24,16.67
E01017153,SO14 0DB,24,33.33
E01017155,SO14 0EP,24,37.5
